LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2021-05-03 14:10:10,1900-01-00 00:00:00,,94:BF:C4:32:CC:88,-2, ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,,8C:88:2B:00:73:6E,-64,,0.000000,0.000000,0.000,0.000,Client
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-2, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,,40:9F:38:EC:8C:5B,-71,,0.000000,0.000000,0.000,0.000,Client
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-1, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,,40:9F:38:EC:8C:5B,-70,,0.000000,0.000000,0.000,0.000,Client
2021-05-03 14:10:10,1900-01-00 00:00:00,Palace of Joe Tsai,94:BF:C4:32:CC:88,-1, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-05-03 14:10:10,1900-01-00 00:00:00,,40:9F:38:EC:8C:5B,-71,,0.000000,0.000000,0.000,0.000,Client
