"No.","Time","Source","Destination","Protocol","Length","Info","MAC src","MAC dst"
"41","7.940238210","127.0.0.1","127.0.0.53","DNS","84","Standard query 0x6efb A i.ytimg.com OPT","00:00:00_00:00:00",""
"42","7.940258205","127.0.0.1","127.0.0.53","DNS","84","Standard query 0x1a09 AAAA i.ytimg.com OPT","00:00:00_00:00:00",""
"104","12.651472745","78.87.87.87","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"105","12.651909752","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"106","12.660628683","12.34.56.78","127.0.0.53","DNS","74","Standard query 0x0000 A facebook.com","00:00:00_00:00:00",""
"107","12.664959300","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A instagram.com","00:00:00_00:00:00",""
"108","12.667442182","127.127.127.0","127.0.0.53","DNS","71","Standard query 0x0000 A apple.com","00:00:00_00:00:00",""
"109","12.677030011","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A twitter.com","00:00:00_00:00:00",""
"110","12.678569029","78.78.78.78","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"111","12.693460415","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A microsoft.com","00:00:00_00:00:00",""
"112","12.700416679","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"113","12.713520317","99.99.99.99","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"114","12.717100114","172.255.1.2","127.0.0.53","DNS","73","Standard query 0x0000 A youtube.com","00:00:00_00:00:00",""
"115","12.717569434","99.99.99.99","127.0.0.53","DNS","72","Standard query 0x0000 A flickr.com","00:00:00_00:00:00",""
"116","12.720735674","192.168.127.127","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"117","12.728516604","66.98.231.204","127.0.0.53","DNS","75","Standard query 0x0000 A wikipedia.org","00:00:00_00:00:00",""
"118","12.756566410","122.194.63.58","127.0.0.53","DNS","70","Standard query 0x0000 A youtu.be","00:00:00_00:00:00",""
"119","12.762845881","95.126.229.243","127.0.0.53","DNS","75","Standard query 0x0000 A wordpress.com","00:00:00_00:00:00",""
"120","12.775350332","212.141.163.22","127.0.0.53","DNS","72","Standard query 0x0000 A tumblr.com","00:00:00_00:00:00",""
"121","12.778486049","127.127.255.255","127.0.0.53","DNS","72","Standard query 0x0000 A google.com","00:00:00_00:00:00",""
"122","12.782009151","168.25.79.33","127.0.0.53","DNS","68","Standard query 0x0000 A goo.gl","00:00:00_00:00:00",""
